pertanyaan_1,pertanyaan_2,pertanyaan_3,pertanyaan_4,pertanyaan_5,MBTI
a) Berkontribusi dengan ide-ide baru dan inovatif.,a) Menganalisis ide-ide dan konsep-konsep yang kompleks.,a) Membayangkan solusi yang inovatif dan kreatif.,a) Memungkinkan saya untuk bekerja secara mandiri dan kreatif.,a) Intuisi dan perasaan saya.,INFP
b) Menyelesaikan tugas yang ditugaskan dengan efisien.,a) Menganalisis ide-ide dan konsep-konsep yang kompleks.,b) Menggunakan logika dan analisis untuk menemukan solusi.,c) Memungkinkan saya untuk membantu orang lain atau melayani masyarakat.,c) Pertimbangan nilai-nilai dan dampak sosial.,ISFP
d) Merencanakan dan mengatur tugas-tugas kelompok.,d) Mengikuti prosedur dan aturan yang sudah ditetapkan.,a) Membayangkan solusi yang inovatif dan kreatif.,a) Memungkinkan saya untuk bekerja secara mandiri dan kreatif.,b) Data dan fakta yang tersedia.,INTP
d) Merencanakan dan mengatur tugas-tugas kelompok.,d) Mengikuti prosedur dan aturan yang sudah ditetapkan.,a) Membayangkan solusi yang inovatif dan kreatif.,a) Memungkinkan saya untuk bekerja secara mandiri dan kreatif.,d) Pertimbangan logis dan rasional.,INTJ
b) Menyelesaikan tugas yang ditugaskan dengan efisien.,d) Mengikuti prosedur dan aturan yang sudah ditetapkan.,a) Membayangkan solusi yang inovatif dan kreatif.,b) Melibatkan interaksi sosial dengan orang lain.,c) Pertimbangan nilai-nilai dan dampak sosial.,INFJ
d) Merencanakan dan mengatur tugas-tugas kelompok.,d) Mengikuti prosedur dan aturan yang sudah ditetapkan.,c) Mempertimbangkan dampak emosional dari keputusan.,a) Memungkinkan saya untuk bekerja secara mandiri dan kreatif.,a) Intuisi dan perasaan saya.,ISFP
c) Memastikan bahwa semua anggota kelompok merasa didengar dan dihargai.,d) Mengikuti prosedur dan aturan yang sudah ditetapkan.,b) Menggunakan logika dan analisis untuk menemukan solusi.,a) Memungkinkan saya untuk bekerja secara mandiri dan kreatif.,c) Pertimbangan nilai-nilai dan dampak sosial.,ESFJ
a) Berkontribusi dengan ide-ide baru dan inovatif.,d) Mengikuti prosedur dan aturan yang sudah ditetapkan.,a) Membayangkan solusi yang inovatif dan kreatif.,a) Memungkinkan saya untuk bekerja secara mandiri dan kreatif.,a) Intuisi dan perasaan saya.,INFP
d) Merencanakan dan mengatur tugas-tugas kelompok.,d) Mengikuti prosedur dan aturan yang sudah ditetapkan.,a) Membayangkan solusi yang inovatif dan kreatif.,a) Memungkinkan saya untuk bekerja secara mandiri dan kreatif.,b) Data dan fakta yang tersedia.,ENTP
a) Berkontribusi dengan ide-ide baru dan inovatif.,a) Menganalisis ide-ide dan konsep-konsep yang kompleks.,b) Menggunakan logika dan analisis untuk menemukan solusi.,b) Melibatkan interaksi sosial dengan orang lain.,c) Pertimbangan nilai-nilai dan dampak sosial.,ESFP
b) Menyelesaikan tugas yang ditugaskan dengan efisien.,c) Memperhatikan perasaan dan kebutuhan orang lain.,b) Menggunakan logika dan analisis untuk menemukan solusi.,d) Memiliki struktur dan tujuan yang jelas.,b) Data dan fakta yang tersedia.,ESTP
a) Berkontribusi dengan ide-ide baru dan inovatif.,b) Melakukan pekerjaan yang membutuhkan keterampilan praktis dan keterampilan tangan.,b) Menggunakan logika dan analisis untuk menemukan solusi.,a) Memungkinkan saya untuk bekerja secara mandiri dan kreatif.,a) Intuisi dan perasaan saya.,ISFP
c) Memastikan bahwa semua anggota kelompok merasa didengar dan dihargai.,b) Melakukan pekerjaan yang membutuhkan keterampilan praktis dan keterampilan tangan.,b) Menggunakan logika dan analisis untuk menemukan solusi.,a) Memungkinkan saya untuk bekerja secara mandiri dan kreatif.,a) Intuisi dan perasaan saya.,ISFP
b) Menyelesaikan tugas yang ditugaskan dengan efisien.,d) Mengikuti prosedur dan aturan yang sudah ditetapkan.,c) Mempertimbangkan dampak emosional dari keputusan.,a) Memungkinkan saya untuk bekerja secara mandiri dan kreatif.,a) Intuisi dan perasaan saya.,ISFP
a) Berkontribusi dengan ide-ide baru dan inovatif.,d) Mengikuti prosedur dan aturan yang sudah ditetapkan.,b) Menggunakan logika dan analisis untuk menemukan solusi.,d) Memiliki struktur dan tujuan yang jelas.,b) Data dan fakta yang tersedia.,ISTP
c) Memastikan bahwa semua anggota kelompok merasa didengar dan dihargai.,c) Memperhatikan perasaan dan kebutuhan orang lain.,b) Menggunakan logika dan analisis untuk menemukan solusi.,a) Memungkinkan saya untuk bekerja secara mandiri dan kreatif.,a) Intuisi dan perasaan saya.,ISFJ
b) Menyelesaikan tugas yang ditugaskan dengan efisien.,d) Mengikuti prosedur dan aturan yang sudah ditetapkan.,b) Menggunakan logika dan analisis untuk menemukan solusi.,a) Memungkinkan saya untuk bekerja secara mandiri dan kreatif.,b) Data dan fakta yang tersedia.,ESTJ
d) Merencanakan dan mengatur tugas-tugas kelompok.,c) Memperhatikan perasaan dan kebutuhan orang lain.,b) Menggunakan logika dan analisis untuk menemukan solusi.,d) Memiliki struktur dan tujuan yang jelas.,b) Data dan fakta yang tersedia.,ISTP
c) Memastikan bahwa semua anggota kelompok merasa didengar dan dihargai.,c) Memperhatikan perasaan dan kebutuhan orang lain.,c) Mempertimbangkan dampak emosional dari keputusan.,c) Memungkinkan saya untuk membantu orang lain atau melayani masyarakat.,c) Pertimbangan nilai-nilai dan dampak sosial.,ESFP
d) Merencanakan dan mengatur tugas-tugas kelompok.,c) Memperhatikan perasaan dan kebutuhan orang lain.,b) Menggunakan logika dan analisis untuk menemukan solusi.,d) Memiliki struktur dan tujuan yang jelas.,a) Intuisi dan perasaan saya.,ISFP
b) Menyelesaikan tugas yang ditugaskan dengan efisien.,d) Mengikuti prosedur dan aturan yang sudah ditetapkan.,b) Menggunakan logika dan analisis untuk menemukan solusi.,a) Memungkinkan saya untuk bekerja secara mandiri dan kreatif.,b) Data dan fakta yang tersedia.,ESTJ
c) Memastikan bahwa semua anggota kelompok merasa didengar dan dihargai.,a) Menganalisis ide-ide dan konsep-konsep yang kompleks.,b) Menggunakan logika dan analisis untuk menemukan solusi.,b) Melibatkan interaksi sosial dengan orang lain.,a) Intuisi dan perasaan saya.,ESFP
a) Berkontribusi dengan ide-ide baru dan inovatif.,d) Mengikuti prosedur dan aturan yang sudah ditetapkan.,a) Membayangkan solusi yang inovatif dan kreatif.,a) Memungkinkan saya untuk bekerja secara mandiri dan kreatif.,a) Intuisi dan perasaan saya.,ENFP
b) Menyelesaikan tugas yang ditugaskan dengan efisien.,d) Mengikuti prosedur dan aturan yang sudah ditetapkan.,b) Menggunakan logika dan analisis untuk menemukan solusi.,b) Melibatkan interaksi sosial dengan orang lain.,b) Data dan fakta yang tersedia.,ESTP
b) Menyelesaikan tugas yang ditugaskan dengan efisien.,d) Mengikuti prosedur dan aturan yang sudah ditetapkan.,b) Menggunakan logika dan analisis untuk menemukan solusi.,d) Memiliki struktur dan tujuan yang jelas.,a) Intuisi dan perasaan saya.,ESFP
d) Merencanakan dan mengatur tugas-tugas kelompok.,d) Mengikuti prosedur dan aturan yang sudah ditetapkan.,a) Membayangkan solusi yang inovatif dan kreatif.,a) Memungkinkan saya untuk bekerja secara mandiri dan kreatif.,a) Intuisi dan perasaan saya.,ENFP
c) Memastikan bahwa semua anggota kelompok merasa didengar dan dihargai.,c) Memperhatikan perasaan dan kebutuhan orang lain.,d) Mengikuti langkah-langkah atau rencana yang sudah ada.,b) Melibatkan interaksi sosial dengan orang lain.,a) Intuisi dan perasaan saya.,ISFJ
d) Merencanakan dan mengatur tugas-tugas kelompok.,b) Melakukan pekerjaan yang membutuhkan keterampilan praktis dan keterampilan tangan.,b) Menggunakan logika dan analisis untuk menemukan solusi.,a) Memungkinkan saya untuk bekerja secara mandiri dan kreatif.,a) Intuisi dan perasaan saya.,ISFJ
c) Memastikan bahwa semua anggota kelompok merasa didengar dan dihargai.,c) Memperhatikan perasaan dan kebutuhan orang lain.,d) Mengikuti langkah-langkah atau rencana yang sudah ada.,c) Memungkinkan saya untuk membantu orang lain atau melayani masyarakat.,a) Intuisi dan perasaan saya.,ISFJ
d) Merencanakan dan mengatur tugas-tugas kelompok.,a) Menganalisis ide-ide dan konsep-konsep yang kompleks.,a) Membayangkan solusi yang inovatif dan kreatif.,d) Memiliki struktur dan tujuan yang jelas.,b) Data dan fakta yang tersedia.,ENTP
a) Berkontribusi dengan ide-ide baru dan inovatif.,c) Memperhatikan perasaan dan kebutuhan orang lain.,a) Membayangkan solusi yang inovatif dan kreatif.,c) Memungkinkan saya untuk membantu orang lain atau melayani masyarakat.,a) Intuisi dan perasaan saya.,INFP
b) Menyelesaikan tugas yang ditugaskan dengan efisien.,a) Menganalisis ide-ide dan konsep-konsep yang kompleks.,c) Mempertimbangkan dampak emosional dari keputusan.,b) Melibatkan interaksi sosial dengan orang lain.,d) Pertimbangan logis dan rasional.,ISTP
a) Berkontribusi dengan ide-ide baru dan inovatif.,a) Menganalisis ide-ide dan konsep-konsep yang kompleks.,c) Mempertimbangkan dampak emosional dari keputusan.,b) Melibatkan interaksi sosial dengan orang lain.,b) Data dan fakta yang tersedia.,ISTP
b) Menyelesaikan tugas yang ditugaskan dengan efisien.,a) Menganalisis ide-ide dan konsep-konsep yang kompleks.,b) Menggunakan logika dan analisis untuk menemukan solusi.,a) Memungkinkan saya untuk bekerja secara mandiri dan kreatif.,d) Pertimbangan logis dan rasional.,ISTP
a) Berkontribusi dengan ide-ide baru dan inovatif.,d) Mengikuti prosedur dan aturan yang sudah ditetapkan.,c) Mempertimbangkan dampak emosional dari keputusan.,a) Memungkinkan saya untuk bekerja secara mandiri dan kreatif.,a) Intuisi dan perasaan saya.,ESFJ
a) Berkontribusi dengan ide-ide baru dan inovatif.,a) Menganalisis ide-ide dan konsep-konsep yang kompleks.,a) Membayangkan solusi yang inovatif dan kreatif.,a) Memungkinkan saya untuk bekerja secara mandiri dan kreatif.,a) Intuisi dan perasaan saya.,ENFP
c) Memastikan bahwa semua anggota kelompok merasa didengar dan dihargai.,d) Mengikuti prosedur dan aturan yang sudah ditetapkan.,a) Membayangkan solusi yang inovatif dan kreatif.,d) Memiliki struktur dan tujuan yang jelas.,a) Intuisi dan perasaan saya.,INFP
